# 原文	译文	风险	出现次数	出现于
円環サポート	圆环辅助		2	js/card/CardPopup.js,js/util/CardUtil.js
エクシード	极限		2	js/card/CardPopup.js,js/util/CardUtil.js
あくま		疑似碎片	2	js/card/CardPopup.js,js/util/CardUtil.js
あるてぃめっと	究极		2	js/card/CardPopup.js,js/util/CardUtil.js
インフィニット	无限		2	js/card/CardPopup.js,js/util/CardUtil.js
むげんだい	无限大		2	js/card/CardPopup.js,js/util/CardUtil.js
ミスティック	神秘		2	js/card/CardPopup.js,js/util/CardUtil.js
ラストコネクト	最终连携		2	js/card/CardPopup.js,js/util/CardUtil.js
レベル		疑似碎片	2	js/event/accomplish/EventAccomplishRecovery.js,js/util/SortUtil.js
プレイヤー名入力	输入玩家名		2	js/util/TutorialUtil.js
プレイヤー名を入力してください。	请输入玩家名。		2	js/util/TutorialUtil.js,template/top/TopPage.html
その他	其他		2	js/user/MyPage.js,template/memoria/bulkSelectPopupView.html
ログインボーナス	登录奖励		2	js/user/MyPage.js,template/loginBonus/loginBonusPopupTemp.html
カースチップ	诅咒晶片（CC）		2	js/quest/QuestUtil.js
トップに戻る	返回首页		2	js/quest/puellaHistoria/lastBattle/GroupRaid.js,js/quest/puellaHistoria/lastBattle/SingleRaid.js
ポイント	点数		2	js/event/EventWitch/parts/TopNativeMain.js,js/quest/puellaHistoria/lastBattle/parts/SingleRaid/NativeMain.js
ポイント：	点数：		2	js/event/EventWalpurgis/parts/GroupRaid/NativeMain.js,js/quest/puellaHistoria/lastBattle/parts/GroupRaid/NativeMain.js
ボス		疑似碎片	2	js/event/EventWalpurgis/parts/GroupRaid/NativeMain.js,js/quest/puellaHistoria/lastBattle/parts/GroupRaid/NativeMain.js
クエスト選択	选择关卡		2	js/event/EventWalpurgis/parts/GroupRaid/SubBossPopup.js,js/quest/puellaHistoria/lastBattle/parts/GroupRaid/SubBossPopup.js
チーム編成を解散しました	已解散队伍编成		2	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
制圧中を除くチーム編成を解散します。\\x3cbr\\x3eよろしいですか？	将解散除制压中以外的队伍编成。\\x3cbr\\x3e确定吗？		2	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
クエスト編成コピー	复制关卡编成		2	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
とじる		疑似碎片	2	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
チーム編成入れ替え	更换队伍编成		2	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
編成にレンタルメモリアセットが含まれています。\\x3cbr\\x3e入れ替えるとレンタルメモリアセットが解除されますがよろしいですか？	编成中包含租借的记忆结晶组合。\\x3cbr\\x3e更换后租借的记忆结晶组合会被解除，确定吗？		2	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
このチームに\\x3cbr\\x3e入れ替え	更换为\\x3cbr\\x3e该队伍		2	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
再生する	播放		2	js/quest/scene0/Utility.js,js/view/arena/ArenaHistoryView.js
撮影が中断されました。	拍摄已中断。		2	js/camera/CameraTop.js,js/event/aprilfool2018/EventAprilFoolTop.js
◆ EXチャレンジクエスト	◆ EX 挑战关卡		2	js/event/dailytower/EventDailyTowerTop.js,js/event/training/EventTrainingTop.js
対戦相手の変更(無料)	更换对手（免费）		2	js/event/arenaranking/view/EventArenaRankingView.js
バトルの結果が正しく取得できませんでした。\\x3cbr\\x3eトップページに戻ります。	未能正确获取战斗结果。\\x3cbr\\x3e将返回首页。		2	js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js
今回のミラーズバトルを\\x3cbr\\x3eリプレイに保存しますか？	要把本次镜界战斗\\x3cbr\\x3e保存为回放吗？		2	js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js
リプレイに保存しました。\\x3cbr\\x3e\\x3cbr\\x3e有効期限：	已保存为回放。\\x3cbr\\x3e\\x3cbr\\x3e有效期：		2	js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js
ストーリークエスト	剧情关卡		2	js/event/dailytower/EventDailyTowerTop.js,js/event/tower/EventTowerTop.js
チャレンジクエスト	挑战关卡		2	js/event/dailytower/EventDailyTowerTop.js,js/event/tower/EventTowerTop.js
クエスト解放スケジュール	关卡开放日程		2	js/event/dailytower/EventDailyTowerTop.js,template/event/dailytower/EventDailyTowerTop.html
◆ チャレンジクエスト	◆ 挑战关卡		2	js/event/dailytower/EventDailyTowerTop.js,js/event/tower/EventTowerTop.js
マギアストーンが<span class="c_pink">		HTML片段	2	js/event/EventArenaRankMatch/parts/AttackCount.js,js/event/EventArenaRankMatch/parts/CoolTime.js
クールタイム解除	解除冷却		2	js/event/EventArenaRankMatch/parts/CoolTime.js
タイムオーバー	超时		2	js/event/EventArenaRankMatch/parts/DeckEditCountDown.js,js/event/EventArenaRankMatch/parts/OpponentList.js
<li class="nomatch">現在対戦可能な相手がいません。<br>しばらくしてから再度来場ください。</li>		HTML片段	2	js/event/EventArenaRankMatch/parts/OpponentList.js,js/event/arenaMission/EventArenaMissionStage.js
を配布しました。<br>		HTML片段	2	js/event/tower/EventTowerTop.js
を消費して<br>イベントクエストをプレイしましょう！		HTML片段	2	js/event/tower/EventTowerTop.js
応援コメント	应援留言		2	js/event/storyraid/EventStoryRaidTop.js
イベントトップページへ	前往活动首页		2	js/event/arenaMission/EventArenaMissionStage.js
を各種１つずつ配布しました。<br>使用してバトルを有利に進めましょう！		HTML片段	2	js/event/arenaMission/EventArenaMissionTop.js
戦闘不能の魔法少女が含まれています。	其中包含无法战斗的魔法少女。		2	js/event/accomplish/EventAccomplishDeck.js,js/formation/DeckFormationUtil.js
クローズ	关闭		2	js/event/accomplish/EventAccomplishEnemyDetail.js,js/regularEvent/accomplish/RegularEventAccomplishTop.js
<div id='totalMissionValidityMask' class='c_pink'>全体撃破報酬は自分で発見したボスを<br>【		HTML片段	2	js/event/raid/EventRaidCloseTop.js,js/event/raid/EventRaidTop.js
体以上撃破】すると解放されます</div>		HTML片段	2	js/event/raid/EventRaidCloseTop.js,js/event/raid/EventRaidTop.js
ミッション報酬を1件受け取りました。<br><br>※受け取ったアイテムは直接付与されています。		HTML片段	2	js/event/raid/EventRaidCloseTop.js,js/event/raid/EventRaidTop.js
フォロー上限	关注上限		2	js/follow/FollowPopup.js,js/view/follow/FollowTopListView.js
フォロー上限に達しています\\x3cbr\\x3eこれ以上フォローできません。\\x3cbr\\x3e\\x3cbr\\x3e	已达到关注上限\\x3cbr\\x3e无法继续关注。\\x3cbr\\x3e\\x3cbr\\x3e		2	js/follow/FollowPopup.js,js/view/follow/FollowTopListView.js
\\x3cspan class\\x3d'c_pink popUserName'\\x3e\\x3c/span\\x3eをフォローしました。\\x3cbr\\x3e\\x3cbr\\x3e			2	js/follow/FollowPopup.js,js/view/follow/FollowTopListView.js
デイリーミッションは毎日0時に更新されます	每日任务于每天 0 点更新		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
衣装切り替え	切换服装		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
魔法少女の衣装を入手した場合@ホーム画面の魔法少女の衣装を切り替えることができます	获得魔法少女的服装后@可以在主页画面切换魔法少女的服装		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
引き継ぎ用パスワードの設定	设置转移用密码		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
引き継ぎ用パスワードを設定しておくことで@端末が壊れてしまっても、データの引き継ぎができます	事先设置转移用密码后@即使设备损坏也能转移数据		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
機種変更の前に	更换机型前		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
引き継ぎ用IDをメモ等で控え@パスワードの設定をお忘れなく	请把转移用 ID 记录下来@并别忘了设置密码		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Chargeディスク	Charge 圆盘		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Chargeディスクを連続して使用すると@チャージが溜まり、大ダメージを与えられます	连续使用 Charge 圆盘@可以积攒充能，造成大量伤害		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
同じ魔法少女で攻撃すると@Puella Comboとなりダメージが上昇します	用同一名魔法少女攻击@会形成 Puella Combo，伤害上升		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
敵をタップするとターゲットすることができます	点击敌人即可将其设为目标		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
同じ魔法少女で3回攻撃すると@コネクトが発動できるようになります	用同一名魔法少女攻击 3 次@即可发动连携		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
陣形の前列は敵の攻撃を受けやすくなるため@防御力が高い魔法少女を配置しましょう	阵形前排更容易受到敌人攻击@请配置防御力高的魔法少女		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
フォローしていないユーザーのサポートは@マギアとスキルが使用できないため注意が必要です	使用未关注玩家的支援时@无法使用 Magia 与技能，请注意		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Accele Comboを決めると@チーム全員のマギアゲージが増加します	达成 Accele Combo 后@全队的 Magia 槽都会增加		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Blast Comboを決めたターンは@ダメージ量が大きくなります	达成 Blast Combo 的回合@伤害量会变大		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
同じディスクでPuella Comboを決めると@更に大きなダメージを与えることができます	用相同圆盘达成 Puella Combo@可以造成更大的伤害		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
ディスクキャンセル	取消圆盘		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
選択されたディスクをタッチするとキャンセルされて@ディスクを選び直すことができます	点击已选中的圆盘即可取消@从而重新选择圆盘		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
マギアゲージが100以上溜まると@いつでもマギアが発動できます	Magia 槽积攒到 100 以上后@随时都能发动 Magia		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
ディスク選択中でもスキルを@発動することができます	即使在选择圆盘的过程中@也可以发动技能		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
一度クリアしたバトルは二回目以降@オートバトルで進行することができます	通关过一次的战斗从第二次起@可以用自动战斗进行		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
オートを解除した場合、次のターンから@手動操作することができます	解除自动后@从下一回合起可以手动操作		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
クエストでサポートとして使用された場合@翌日のログイン時にサポートPtが獲得できます	被他人在关卡中用作支援时@次日登录可获得支援Pt		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
ディスクのデザイン変更	更改圆盘外观		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
魔法少女詳細画面の設定から@ディスクのデザインを変更することができます	在魔法少女详情画面的设置中@可以更改圆盘的外观		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
すでに所持している魔法少女を再度獲得した場合@その魔法少女のデスティニージェムを獲得できます	再次获得已持有的魔法少女时@可获得该魔法少女的命运宝石		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
デスティニージェムは魔法少女の魔力解放に使用します@魔力解放をおこなうとメモリア装備枠が増加します	命运宝石用于魔法少女的魔力解放@进行魔力解放后记忆结晶装备格会增加		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
マギアチップ	魔法碎片		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
デスティニージェムはマギアチップに変換できます@マギアチップはショップでアイテムと交換できます	命运宝石可以转换为魔法碎片@魔法碎片能在商店兑换道具		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
ターゲットは3枚のディスクを選択する際に@毎回変更することができます	选择 3 张圆盘时@每次都可以更改目标		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
アクセルディスクで最初に攻撃すると@以降のディスクでマギアゲージが溜まりやすくなります	先用 Accele 圆盘攻击@之后的圆盘更容易积攒 Magia 槽		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
2枚め、3枚めのAcceleディスクほど@マギアゲージが溜まりやすくなります	越是第 2 张、第 3 张 Accele 圆盘@越容易积攒 Magia 槽		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Blastディスクは2枚め、3枚めで@攻撃するほどダメージが上昇します	Blast 圆盘越是在第 2 张、第 3 张@攻击时伤害越高		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Blastディスクには縦攻撃、横攻撃の@2種類が存在します	Blast 圆盘分为纵向攻击与横向攻击@两种		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Blastディスクで攻撃すると@マギアゲージが溜まらないので注意が必要です	用 Blast 圆盘攻击时@不会积攒 Magia 槽，请注意		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
ディスクの出現	圆盘的出现		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
リーダーに指定した魔法少女は@ディスクが出現しやすくなります	被指定为队长的魔法少女@圆盘更容易出现		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
敵の情報	敌人信息		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
敵を長押しすると敵の情報を@表示することができます	长按敌人即可@显示敌人的信息		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Chargeが溜まっている状態でAcceleを放つと@マギアゲージ獲得量が上昇します	在已积攒 Charge 的状态下打出 Accele@Magia 槽获得量会上升		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Chargeが溜まっている状態でBlastを放つと@与えるダメージ量が上昇します	在已积攒 Charge 的状态下打出 Blast@造成的伤害量会上升		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
★5かつマギアLv5の魔法少女の@ドッペルクエストをクリアすることで解放されます	通关★5 且 Magia Lv5 的魔法少女的@魔女化身关卡后解放		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
メモリアはスキル・アビリティ2枚ずつ@最大4枚まで装備することができます	记忆结晶可装备技能类、能力类各 2 张@最多 4 张		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Charge Comboを決めるとCharge数が2増加します	达成 Charge Combo 后 Charge 数增加 2		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
魔法少女の情報	魔法少女信息		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
クエスト中に魔法少女を長押しすると@その魔法少女の情報を表示します	关卡中长按魔法少女@会显示该魔法少女的信息		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
他プレイヤーがサポートとして使用できる魔法少女を@サポート編成で設定することができます	可以在支援编成中设置@供其他玩家用作支援的魔法少女		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
マギアパスポート30	Magia 通行证 30		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
マギアパスポート30を購入すると30日間@毎日のログイン時にマギアストーン5個を獲得できます	购买 Magia 通行证 30 后的 30 天内@每日登录可获得 5 个魔法石		2	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
ガチャ提供一覧	抽卡概率一览		2	js/gacha/GachaProbability.js,template/gacha/GachaTop.html
マギア強化できません			2	js/chara/CharaComposeMagia.js
魔力解放できません			2	js/chara/CharaEquip.js
以下のアイテムを使って強化しますか？			2	js/chara/CharaComposeAttribute/ComposeAttributeList.js,template/chara/CharaComposeAttribute/popupAllItemConfirm.html
クエストへ			2	js/chara/CharaComposeAttribute/popupCheckMaterial.js,template/chara/CharaEnhancementMaterialPopup.html
ヘルプ		疑似碎片	2	js/view/etc/HelpPopupView.js,template/etc/Help.html
プレイヤーID			2	js/view/etc/HelpView.js,js/view/user/MyProfilePopup.js
メモリアについて			2	js/view/user/GlobalMenuView.js,template/base/GlobalMenu.html
帰還しました			2	js/view/user/GlobalMenuView.js
完了まで			2	js/view/user/GlobalMenuView.js
エンブレムの表示設定を\\x3cbr\\x3e変更しました			2	js/view/user/MyProfilePopup.js
コメント編集			2	js/view/user/MyProfilePopup.js
称号を非表示にします			2	js/view/user/MyProfilePopup.js,template/user/SetTitlePopup.html
※シリアルコードは12桁で入力してください。			2	js/view/config/ConfigTopView.js
話までのあらすじ			2	js/view/quest/MainQuestView.js,js/view/quest/SubQuestView.js
クエスト情報			2	js/view/quest/QuestListPartsView.js
リプレイ再生			2	js/view/arena/ArenaHistoryView.js
ミラーズランクマッチの結果集計中			2	js/view/arena/ArenaTopView.js
現在、ミラーズランクマッチの結果集計中です。\\x3cbr\\x3e集計中はミラーズバトルはプレイできません。			2	js/view/arena/ArenaTopView.js
現在、ミラーズランキングの結果集計中です。\\x3cbr\\x3e集計中はミラーズバトルはプレイできません。			2	js/view/arena/ArenaTopView.js
開始予定です。			2	js/view/arena/ArenaTopView.js
ブロック中			2	js/view/follow/FollowTopListView.js
フォロワー			2	js/view/follow/FollowTopView.js
マギアストーン購入			2	js/view/gacha/GachaBtnView.js,js/view/purchase/PurchasePopup.js
特定商取引法・資金決済法に関して		法条勿动	2	js/view/purchase/PurchasePopup.js,template/purchase/PurchasePop.html
月の購入限度額を超える為、\\x3cbr\\x3e購入することができません。			2	js/view/purchase/PurchasePopup.js,js/view/purchase/PurchasePopupPartView.js
の魔力解放に使用するアイテム			2	js/view/shop/ShopTopView.js,js/view/shop/q.js
期間外のため\\x3cbr\\x3e対象のショップは存在しません			2	js/view/shop/ShopTopView.js,js/view/shop/q.js
メモリア強化			2	js/view/memoria/MemoriaComposeTopCardListView.js,template/memoria/MemoriaComposeTop.html
先に強化対象を選択してください。			2	js/view/memoria/MemoriaComposeTopUseItemView.js,js/view/memoria/MemoriaComposeTopUseMaterialView.js
\\x3c/span\\x3eに移動します。\\x3cbr\\x3eよろしいですか？			2	js/view/memoria/PieceArchiveView.js
\\x3c/span\\x3eへ移動しました。			2	js/view/memoria/PieceArchiveView.js
装備するメモリアを選んでください			2	js/view/memoria/UserMemoriaListView.js
変更を破棄			2	js/formation/FormationSupport.js,js/memoria/MemoriaEquip.js
変更を保存			2	js/formation/FormationSupport.js,js/memoria/MemoriaEquip.js
ロック		疑似碎片	2	js/memoria/MemoriaPopup.js,template/memoria/bulkSelectPopupView.html
ロック中			2	js/memoria/MemoriaPopup.js,template/memoria/bulkSelectPopupView.html
メモリアセット「			2	js/memoria/MemoriaSetEquip.js
」を装備します。\\x3c/br\\x3e			2	js/memoria/MemoriaSetEquip.js
バトル開始には、3人以上の魔法少女が\\x3cbr\\x3e編成に含まれている必要があります。			2	js/formation/DeckFormation.js,js/formation/DeckFormationUtil.js
人以上の魔法少女が\\x3cbr\\x3e編成に含まれている必要があります。			2	js/formation/DeckFormation.js,js/formation/DeckFormationUtil.js
メインメンバーに魔法少女を１体以上編成してください。			2	js/formation/DeckFormation.js,js/formation/DeckFormationUtil.js
編成コピー確認			2	js/formation/DeckFormation.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
魔法少女・メモリア装備の変更を保存して\\x3c/br\\x3eチーム編成を終了しますか？			2	js/formation/DeckFormation.js,js/formation/FormationQuest.js
チーム名変更			2	js/formation/FormationQuest.js,template/event/accomplish/EventAccomplishDeck.html
キモチ戦参加条件			2	js/regularEvent/RegularEventTop.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
まで開催します。\\x3cbr\\x3e\\x3cbr\\x3eキモチ戦に参加するには\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3e			2	js/regularEvent/RegularEventTop.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
\\x3c/span\\x3e\\x3cbr\\x3eしている必要があります。			2	js/regularEvent/RegularEventTop.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
メインストーリー			2	js/regularEvent/RegularEventTop.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
第一の結界			2	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
第二の結界			2	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
第三の結界			2	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
第四の結界			2	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
解放スケジュール			2	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js,js/regularEvent/extermination/RegularEventExterminationTop.js
グループ名変更			2	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
お問い合わせ			2	template/etc/Help.html,template/top/NewVersionRecommend.html
を行います。			2	template/campaign/box_gacha/CampaignBoxGachaTop.html,template/gacha/GachaTop.html
不足しています。			2	template/campaign/box_gacha/CampaignBoxGachaTop.html,template/gacha/GachaTop.html
を使ってAPを回復します。			2	template/user/APPopup2.html,template/user/APPopupForMoney.html
決定後、すぐにアイテムが購入されマギアストーンが消費されます。			2	template/shop/ShopTop.html,template/user/APPopupForMoney.html
parseCurrent) return;\n\n\t\t\t\t// 3ヶ月前まで表示\n\t\t\t\t//if(parseStartAt + 7776000000			2	template/user/AnnounceTemp.html,template/user/AnnounceTempMainte.html
さらに続きを表示			2	template/user/AnnounceTemp.html,template/user/AnnounceTempMainte.html
クリア		疑似碎片	2	template/arena/ArenaHistory.html,template/user/AnnounceTemp.html
バトル開始			2	template/event/raid/EventRaidTop.html,template/quest/PreQuestPopup.html
【魂の器】			2	template/quest/puellaHistoria/MirrorParts_debug.html
データ更新テスト			2	template/event/EventWalpurgis/GroupRaidNativeParts.html,template/quest/puellaHistoria/lastBattle/GroupRaidNativeParts.html
象徴の魔女			2	template/quest/puellaHistoria/lastBattle/MainBossPopup.html,template/quest/puellaHistoria/lastBattle/SubBossList.html
グループレイドに戻る			2	template/event/EventWalpurgis/QuestResultSubBoss.html,template/quest/puellaHistoria/lastBattle/QuestResultSubBoss.html
スタンプ			2	template/event/EventWalpurgis/Stamp.html,template/quest/puellaHistoria/lastBattle/Stamp.html
最近使ったスタンプ			2	template/event/EventWalpurgis/Stamp.html,template/quest/puellaHistoria/lastBattle/Stamp.html
表示できるスタンプはありません			2	template/event/EventWalpurgis/Stamp.html,template/quest/puellaHistoria/lastBattle/Stamp.html
EXチャレンジ			2	template/event/dailytower/EventDailyTowerTop.html,template/event/training/EventTrainingTop.html
エピソード			2	template/chara/CharaCompose.html,template/event/training/EventTrainingTop.html
戦績がありません			2	template/event/EventArenaRankMatch/History.html,template/event/arenaranking/EventArenaRankingHistory.html
百禍チャレンジ			2	template/event/dailytower/EventDailyTowerTop.html
◆ クエスト			2	template/event/dailytower/EventDailyTowerTop.html,template/event/tower/EventTowerTop.html
ミラーズランクマッチの対戦回数を			2	template/event/EventArenaRankMatch/parts/AttackCountItemPopup.html,template/event/EventArenaRankMatch/parts/AttackCountPopup.html
回復できます。			2	template/arena/ArenaRanking.html,template/event/EventArenaRankMatch/parts/AttackCountItemPopup.html
決定後、すぐにマギアストーンが消費されます。			2	template/event/EventArenaRankMatch/parts/AttackCountPopup.html,template/event/EventArenaRankMatch/parts/CoolTimePopup.html
応援コメントを送ることで、バトル時の攻撃力がアップします！			2	template/event/storyraid/EventStoryRaidBoss.html
を手に入れました			2	template/event/arenaMission/EventArenaMissionResult.html
ステージクリアまで			2	template/event/arenaMission/EventArenaMissionResult.html,template/event/arenaMission/EventArenaMissionStage.html
クリア済のステージでは			2	template/event/arenaMission/EventArenaMissionResult.html,template/event/arenaMission/EventArenaMissionTop.html
連勝ボーナス			2	template/arena/ArenaResult.html,template/event/arenaMission/EventArenaMissionResult.html
ターンボーナス			2	template/arena/ArenaResult.html,template/event/arenaMission/EventArenaMissionResult.html
相手ボーナス			2	template/arena/ArenaResult.html,template/event/arenaMission/EventArenaMissionResult.html
魔法陣形を選択してください			2	template/event/accomplish/EventAccomplishDeck.html,template/formation/FormationQuest.html
現在編成中のチームのプレビューです			2	template/event/accomplish/EventAccomplishDeck.html,template/formation/FormationQuest.html
セット呼び出し			2	template/event/accomplish/EventAccomplishDeck.html,template/formation/DeckFormation.html
X座標を入力			2	template/event/accomplish/EventAccomplishEnemyDetail.html,template/regularEvent/accomplish/RegularEventAccomplishTop.html
Y座標を入力			2	template/event/accomplish/EventAccomplishEnemyDetail.html,template/regularEvent/accomplish/RegularEventAccomplishTop.html
拡縮を入力			2	template/event/accomplish/EventAccomplishEnemyDetail.html,template/regularEvent/accomplish/RegularEventAccomplishTop.html
敵の現在HP			2	template/event/accomplish/EventAccomplishEnemyDetail.html,template/regularEvent/accomplish/RegularEventAccomplishTop.html
バトル評価			2	template/arena/ArenaResult.html
戦力ボーナス			2	template/arena/ArenaResult.html
アニメーション中…			2	template/card/ComposeAnimation.html,template/memoria/MemoriaComposeAnimation.html
このチームでまとめてパトロールを開始します			2	template/patrol/PatrolLumpFormation.html
あと&nbsp;			2	template/patrol/PatrolLumpResult.html,template/patrol/PatrolResult.html
マギアストーンは無償分から先に消費され、			2	template/gacha/GachaTop.html,template/shop/ShopTop.html
決定後のキャンセルはできません。			2	template/gacha/GachaTop.html,template/shop/ShopTop.html
タイプ		疑似碎片	2	template/gacha/SelectableGachaCharaSelect.html,template/memoria/bulkSelectPopupView.html
全てはずす			2	template/gacha/SelectableGachaPieceSelect.html,template/memoria/MemoriaEquip.html
発動可能ターン&nbsp;			2	template/gacha/SelectableGachaPieceSelect.html,template/memoria/MemoriaEquipInfo.html
獲得したアイテムは直接付与されています			2	template/loginBonus/loginBonusCampaignPopupTemp.html,template/regularEvent/groupBattle/RegularEventGroupBattleEnd.html
残り回数			2	template/shop/ShopTop.html
まとめて選択			2	template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html
★3以上のメモリアが含まれています。			2	template/memoria/MemoriaComposeTop.html,template/memoria/UserMemoriaList.html
保管庫へ移動			2	template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
★1を全て選択			2	template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
保管庫名を入力してください			2	template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
魔法少女の詳細情報です			2	template/formation/FormationQuest.html,template/formation/FormationSupport.html
グレード			2	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
ダメージ			2	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
デイリーダメージ			2	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html,template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html
ランキング			2	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html,template/regularEvent/groupBattle/RegularEventGroupBattleUser.html
チャージ数			2	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
合計ダメージ			2	template/regularEvent/groupBattle/RegularEventGroupBattleLog.html,template/regularEvent/groupBattle/RegularEventGroupBattleResult.html
デイリー			2	template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
TOPへ移動			2	template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html,template/regularEvent/groupBattle/RegularEventGroupBattleUser.html
引き継ぎMP			2	template/regularEvent/groupBattle/RegularEventGroupBattleResult.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
キャッシュクリアしました。			1	js/top/TopPage.js
パスワードは8文字以上15文字以内です。			1	js/top/TopPage.js
引き継ぎ・連携を行います。\\x3cbr\\x3eよろしいですか？			1	js/top/TopPage.js
引き継ぎ・連携が完了しました。			1	js/top/TopPage.js
